establishment,username,name,firstname,phone,mail,password,administrator,active
Campus de Faraday,LeGrandMago,Gandalf,LeGris,0199999999,jejettedessorts@mail.com,abracadabra,1,1
Campus de Niort,LePlusGrandMago,Gandalf,LeBlanc,0102030405,jejettedessortsencoreplusforts@mail.fr,Abracadabra,0,1
Campus de Niort,LeHobbitDu44,Frodon,Baggins,0102030405,jepuedespieds@mail.fr,sacquet,0,1
Campus de Rennes,MisterMV,Xavier,Dang,0123456789,jenesuispasmisterv@mail.fr,connard,0,1
Campus de Quimper,MisterV,Ivyck,Letexier,0199754869,jenesuispasmistermv@mail.com,panda,0,1
Campus de Quimper,BananaForScale,Banana,For Scale,0102030405,dontwasteit@eatit.fr,banana,0,1
Campus de Rennes,FirstManOnMars,Elon,Musk,4242424242,tropbienlascience@mail.mars,surmars,0,1
Campus de Rennes,UneOrdure,Jeff,Bezos,0973918641,alwaysmoremoreandmore@vivelathune.com,amazon,0,1
Campus de Niort,VotreAmiJaune,Bob,L'éponge,8748602474,vousetespretlesenfant@hehooooo.ocean,patrick,0,1
Campus de Niort,LeMeilleurAmiDeBob,Patrick,L'étoile de mer,un quoi?,icantseemyforhead@dummy.ocean,bob,0,1
Campus de Faraday,Benjamin,Jérémi,Simon,9869873234,quandjesuiscontentjevomis@beurg.com,sympa,0,1
Campus de Faraday,Youri,Serge,Karamazov,8896532084,odilederaymadaaaaaameodilederay@glabaiz.com,lourd,0,1
Campus de Faraday,Louise,Odile,Deray,7498698325,justeundoigt@whisky.fr,lepape,0,1
Campus de Rennes,Balrog,Fléau,De Durin,1980301840,jesuispaspassé@victime.moria,balrog,0,1
Campus de Rennes,Canard Man,Man,Canard,1980594840,canardman@justicier.fr,canardman,0,1
Campus de Niort,Espelette,Côte de Porc,Yves,1826594840,yves-cdp@masterchef.fr,espelette,0,1
